id,count_id,location_name,longitude,latitude,centreline_id,time_start,time_end,direction,volume_15min
8255357,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 12:00:00,2021-05-03 12:15:00,EB,23
8255358,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 12:15:00,2021-05-03 12:30:00,EB,27
8255359,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 12:30:00,2021-05-03 12:45:00,EB,26
8255360,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 12:45:00,2021-05-03 13:00:00,EB,31
8255361,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 13:00:00,2021-05-03 13:15:00,EB,26
8255362,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 13:15:00,2021-05-03 13:30:00,EB,33
8255363,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 13:30:00,2021-05-03 13:45:00,EB,29
8255364,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 13:45:00,2021-05-03 14:00:00,EB,37
8255365,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 14:00:00,2021-05-03 14:15:00,EB,26
8255366,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 14:15:00,2021-05-03 14:30:00,EB,27
8255367,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 14:30:00,2021-05-03 14:45:00,EB,31
8255368,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 14:45:00,2021-05-03 15:00:00,EB,31
8255369,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 15:00:00,2021-05-03 15:15:00,EB,41
8255370,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 15:15:00,2021-05-03 15:30:00,EB,40
8255371,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 15:30:00,2021-05-03 15:45:00,EB,43
8255372,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 15:45:00,2021-05-03 16:00:00,EB,37
8255373,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 16:00:00,2021-05-03 16:15:00,EB,39
8255374,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 16:15:00,2021-05-03 16:30:00,EB,35
8255375,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 16:30:00,2021-05-03 16:45:00,EB,33
8255376,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 16:45:00,2021-05-03 17:00:00,EB,40
8255377,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 17:00:00,2021-05-03 17:15:00,EB,46
8255378,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 17:15:00,2021-05-03 17:30:00,EB,40
8255379,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 17:30:00,2021-05-03 17:45:00,EB,38
8255380,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 17:45:00,2021-05-03 18:00:00,EB,29
8255381,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 18:00:00,2021-05-03 18:15:00,EB,36
8255382,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 18:15:00,2021-05-03 18:30:00,EB,30
8255383,2856386,Bayview Ave to Corktown Common Trl (id: 30061072),-79.35313275552345,43.655638977906214,30061072,2021-05-03 18:30:00,2021-05-03 18:45:00,EB,34
